sample_id,damage_level,n_grains,grain_size_um,n_cracks,crack_severity,n_pores,n_inclusions,log10_Nf,Nf_cycles,risk_category,image_path
SYN_0052,pristine,43,11,0,0.1,5,3,6.6445,4410196.0,LOW,data\synthetic\images\SYN_0052.png
SYN_0053,mild,77,6,1,0.3,10,6,6.2483,1771250.0,MEDIUM,data\synthetic\images\SYN_0053.png
SYN_0054,moderate,38,13,2,0.6,15,10,4.8001,63117.0,HIGH,data\synthetic\images\SYN_0054.png
SYN_0055,moderate,55,9,2,0.6,15,10,4.8122,64900.0,HIGH,data\synthetic\images\SYN_0055.png
SYN_0056,severe,62,8,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0056.png
SYN_0057,mild,76,6,1,0.3,10,6,6.1874,1539556.0,MEDIUM,data\synthetic\images\SYN_0057.png
SYN_0058,pristine,48,10,0,0.1,5,3,6.7782,6000435.0,LOW,data\synthetic\images\SYN_0058.png
SYN_0059,severe,56,8,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0059.png
SYN_0060,pristine,67,7,0,0.1,5,3,6.767,5847240.0,LOW,data\synthetic\images\SYN_0060.png
SYN_0061,mild,79,6,1,0.3,10,6,6.2359,1721595.0,MEDIUM,data\synthetic\images\SYN_0061.png
SYN_0062,moderate,82,6,2,0.6,15,10,4.4438,27785.0,CRITICAL,data\synthetic\images\SYN_0062.png
SYN_0063,moderate,115,4,2,0.6,15,10,4.6025,40038.0,HIGH,data\synthetic\images\SYN_0063.png
SYN_0064,pristine,44,11,0,0.1,5,3,6.6183,4152497.0,LOW,data\synthetic\images\SYN_0064.png
SYN_0065,moderate,90,5,2,0.6,15,10,4.7371,54594.0,HIGH,data\synthetic\images\SYN_0065.png
SYN_0066,moderate,91,5,2,0.6,15,10,4.7927,62048.0,HIGH,data\synthetic\images\SYN_0066.png
SYN_0067,pristine,88,5,0,0.1,5,3,6.6238,4205478.0,LOW,data\synthetic\images\SYN_0067.png
SYN_0068,severe,103,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0068.png
SYN_0069,moderate,116,4,2,0.6,15,10,4.8133,65057.0,HIGH,data\synthetic\images\SYN_0069.png
SYN_0070,moderate,98,5,2,0.6,15,10,4.5703,37181.0,HIGH,data\synthetic\images\SYN_0070.png
SYN_0071,moderate,32,15,2,0.6,15,10,4.395,24830.0,CRITICAL,data\synthetic\images\SYN_0071.png
SYN_0072,pristine,73,6,0,0.1,5,3,6.5289,3379737.0,LOW,data\synthetic\images\SYN_0072.png
SYN_0073,moderate,36,13,2,0.6,15,10,4.7606,57620.0,HIGH,data\synthetic\images\SYN_0073.png
SYN_0074,moderate,87,5,2,0.6,15,10,4.8542,71482.0,HIGH,data\synthetic\images\SYN_0074.png
SYN_0075,mild,103,4,1,0.3,10,6,5.9391,869155.0,MEDIUM,data\synthetic\images\SYN_0075.png
SYN_0076,moderate,102,4,2,0.6,15,10,4.5817,38171.0,HIGH,data\synthetic\images\SYN_0076.png
SYN_0077,mild,101,4,1,0.3,10,6,5.9628,917819.0,MEDIUM,data\synthetic\images\SYN_0077.png
SYN_0078,pristine,67,7,0,0.1,5,3,6.9383,8676130.0,LOW,data\synthetic\images\SYN_0078.png
SYN_0079,moderate,98,5,2,0.6,15,10,4.5822,38210.0,HIGH,data\synthetic\images\SYN_0079.png
SYN_0080,pristine,81,6,0,0.1,5,3,6.9012,7965515.0,LOW,data\synthetic\images\SYN_0080.png
SYN_0081,severe,88,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0081.png
SYN_0082,moderate,70,7,2,0.6,15,10,4.7449,55579.0,HIGH,data\synthetic\images\SYN_0082.png
SYN_0083,pristine,89,5,0,0.1,5,3,6.7268,5331117.0,LOW,data\synthetic\images\SYN_0083.png
SYN_0084,pristine,64,7,0,0.1,5,3,6.9112,8151675.0,LOW,data\synthetic\images\SYN_0084.png
SYN_0085,mild,57,8,1,0.3,10,6,5.7974,627183.0,MEDIUM,data\synthetic\images\SYN_0085.png
SYN_0086,severe,55,9,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0086.png
SYN_0087,severe,107,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0087.png
SYN_0088,severe,98,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0088.png
SYN_0089,mild,110,4,1,0.3,10,6,5.9338,858659.0,MEDIUM,data\synthetic\images\SYN_0089.png
SYN_0090,severe,86,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0090.png
SYN_0091,severe,45,11,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0091.png
SYN_0092,mild,80,6,1,0.3,10,6,6.0806,1203975.0,MEDIUM,data\synthetic\images\SYN_0092.png
SYN_0093,severe,93,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0093.png
SYN_0094,pristine,55,9,0,0.1,5,3,6.6365,4330064.0,LOW,data\synthetic\images\SYN_0094.png
SYN_0095,mild,114,4,1,0.3,10,6,6.1716,1484588.0,MEDIUM,data\synthetic\images\SYN_0095.png
SYN_0096,severe,70,7,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0096.png
SYN_0097,moderate,52,9,2,0.6,15,10,4.3356,21657.0,CRITICAL,data\synthetic\images\SYN_0097.png
SYN_0098,severe,35,14,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0098.png
SYN_0099,severe,75,6,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0099.png
SYN_0100,mild,89,5,1,0.3,10,6,5.9706,934459.0,MEDIUM,data\synthetic\images\SYN_0100.png
SYN_0101,severe,76,6,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0101.png
SYN_0102,severe,55,9,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0102.png
SYN_0103,moderate,98,5,2,0.6,15,10,4.5316,34011.0,HIGH,data\synthetic\images\SYN_0103.png
SYN_0104,mild,72,6,1,0.3,10,6,6.0471,1114435.0,MEDIUM,data\synthetic\images\SYN_0104.png
SYN_0105,moderate,61,8,2,0.6,15,10,4.59,38908.0,HIGH,data\synthetic\images\SYN_0105.png
SYN_0106,pristine,107,4,0,0.1,5,3,6.6213,4181487.0,LOW,data\synthetic\images\SYN_0106.png
SYN_0107,pristine,99,5,0,0.1,5,3,6.7001,5012858.0,LOW,data\synthetic\images\SYN_0107.png
SYN_0108,pristine,111,4,0,0.1,5,3,6.6243,4210559.0,LOW,data\synthetic\images\SYN_0108.png
SYN_0109,severe,104,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0109.png
SYN_0110,pristine,89,5,0,0.1,5,3,6.8685,7388356.0,LOW,data\synthetic\images\SYN_0110.png
SYN_0111,severe,112,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0111.png
SYN_0112,pristine,115,4,0,0.1,5,3,6.7663,5839149.0,LOW,data\synthetic\images\SYN_0112.png
SYN_0113,pristine,105,4,0,0.1,5,3,6.8771,7535221.0,LOW,data\synthetic\images\SYN_0113.png
SYN_0114,pristine,90,5,0,0.1,5,3,6.852,7112086.0,LOW,data\synthetic\images\SYN_0114.png
SYN_0115,pristine,82,6,0,0.1,5,3,6.2202,1660432.0,MEDIUM,data\synthetic\images\SYN_0115.png
SYN_0116,pristine,99,5,0,0.1,5,3,6.5497,3545677.0,LOW,data\synthetic\images\SYN_0116.png
SYN_0117,moderate,109,4,2,0.6,15,10,4.6253,42201.0,HIGH,data\synthetic\images\SYN_0117.png
SYN_0118,severe,100,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0118.png
SYN_0119,moderate,54,9,2,0.6,15,10,4.5667,36871.0,HIGH,data\synthetic\images\SYN_0119.png
SYN_0120,moderate,58,8,2,0.6,15,10,4.7798,60230.0,HIGH,data\synthetic\images\SYN_0120.png
SYN_0121,severe,88,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0121.png
SYN_0122,severe,98,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0122.png
SYN_0123,mild,49,10,1,0.3,10,6,5.8157,654163.0,MEDIUM,data\synthetic\images\SYN_0123.png
SYN_0124,mild,51,9,1,0.3,10,6,5.9784,951386.0,MEDIUM,data\synthetic\images\SYN_0124.png
SYN_0125,pristine,99,5,0,0.1,5,3,6.8393,6907651.0,LOW,data\synthetic\images\SYN_0125.png
SYN_0126,mild,99,5,1,0.3,10,6,6.0386,1093038.0,MEDIUM,data\synthetic\images\SYN_0126.png
SYN_0127,mild,78,6,1,0.3,10,6,6.0492,1119992.0,MEDIUM,data\synthetic\images\SYN_0127.png
SYN_0128,mild,107,4,1,0.3,10,6,6.0908,1232579.0,MEDIUM,data\synthetic\images\SYN_0128.png
SYN_0129,pristine,63,7,0,0.1,5,3,6.8559,7175934.0,LOW,data\synthetic\images\SYN_0129.png
SYN_0130,moderate,68,7,2,0.6,15,10,4.595,39355.0,HIGH,data\synthetic\images\SYN_0130.png
SYN_0131,mild,35,14,1,0.3,10,6,5.9152,822530.0,MEDIUM,data\synthetic\images\SYN_0131.png
SYN_0132,mild,57,8,1,0.3,10,6,6.1939,1562833.0,MEDIUM,data\synthetic\images\SYN_0132.png
SYN_0133,severe,116,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0133.png
SYN_0134,severe,61,8,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0134.png
SYN_0135,mild,72,6,1,0.3,10,6,5.8715,743912.0,MEDIUM,data\synthetic\images\SYN_0135.png
SYN_0136,pristine,78,6,0,0.1,5,3,6.7243,5300752.0,LOW,data\synthetic\images\SYN_0136.png
SYN_0137,moderate,114,4,2,0.6,15,10,4.6167,41373.0,HIGH,data\synthetic\images\SYN_0137.png
SYN_0138,mild,80,6,1,0.3,10,6,6.395,2483236.0,MEDIUM,data\synthetic\images\SYN_0138.png
SYN_0139,moderate,54,9,2,0.6,15,10,4.6105,40789.0,HIGH,data\synthetic\images\SYN_0139.png
SYN_0140,mild,57,8,1,0.3,10,6,6.2304,1699729.0,MEDIUM,data\synthetic\images\SYN_0140.png
SYN_0141,moderate,37,13,2,0.6,15,10,4.7506,56314.0,HIGH,data\synthetic\images\SYN_0141.png
SYN_0142,mild,49,10,1,0.3,10,6,5.9266,844461.0,MEDIUM,data\synthetic\images\SYN_0142.png
SYN_0143,mild,70,7,1,0.3,10,6,5.9656,923818.0,MEDIUM,data\synthetic\images\SYN_0143.png
SYN_0144,mild,40,12,1,0.3,10,6,6.1565,1433706.0,MEDIUM,data\synthetic\images\SYN_0144.png
SYN_0145,moderate,37,13,2,0.6,15,10,4.3923,24679.0,CRITICAL,data\synthetic\images\SYN_0145.png
SYN_0146,mild,35,14,1,0.3,10,6,6.3043,2015087.0,MEDIUM,data\synthetic\images\SYN_0146.png
SYN_0147,pristine,72,6,0,0.1,5,3,6.5399,3466712.0,LOW,data\synthetic\images\SYN_0147.png
SYN_0148,mild,83,6,1,0.3,10,6,6.0694,1173252.0,MEDIUM,data\synthetic\images\SYN_0148.png
SYN_0149,mild,47,10,1,0.3,10,6,5.9653,923213.0,MEDIUM,data\synthetic\images\SYN_0149.png
SYN_0150,mild,58,8,1,0.3,10,6,6.0737,1185015.0,MEDIUM,data\synthetic\images\SYN_0150.png
SYN_0151,severe,94,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0151.png
SYN_0152,severe,113,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0152.png
SYN_0153,moderate,38,13,2,0.6,15,10,4.728,53456.0,HIGH,data\synthetic\images\SYN_0153.png
SYN_0154,severe,30,16,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0154.png
SYN_0155,severe,94,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0155.png
SYN_0156,severe,36,13,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0156.png
SYN_0157,pristine,61,8,0,0.1,5,3,6.6169,4139044.0,LOW,data\synthetic\images\SYN_0157.png
SYN_0158,moderate,79,6,2,0.6,15,10,4.7101,51294.0,HIGH,data\synthetic\images\SYN_0158.png
SYN_0159,mild,57,8,1,0.3,10,6,6.1834,1525396.0,MEDIUM,data\synthetic\images\SYN_0159.png
SYN_0160,moderate,34,14,2,0.6,15,10,4.6132,41041.0,HIGH,data\synthetic\images\SYN_0160.png
SYN_0161,mild,97,5,1,0.3,10,6,6.1953,1568014.0,MEDIUM,data\synthetic\images\SYN_0161.png
SYN_0162,moderate,31,16,2,0.6,15,10,4.9553,90212.0,HIGH,data\synthetic\images\SYN_0162.png
SYN_0163,moderate,46,10,2,0.6,15,10,4.5573,36087.0,HIGH,data\synthetic\images\SYN_0163.png
SYN_0164,moderate,114,4,2,0.6,15,10,4.6164,41338.0,HIGH,data\synthetic\images\SYN_0164.png
SYN_0165,moderate,42,11,2,0.6,15,10,4.6885,48811.0,HIGH,data\synthetic\images\SYN_0165.png
SYN_0166,pristine,34,14,0,0.1,5,3,6.8176,6569860.0,LOW,data\synthetic\images\SYN_0166.png
SYN_0167,moderate,36,13,2,0.6,15,10,4.3425,22006.0,CRITICAL,data\synthetic\images\SYN_0167.png
SYN_0168,severe,47,10,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0168.png
SYN_0169,mild,36,13,1,0.3,10,6,6.2149,1640091.0,MEDIUM,data\synthetic\images\SYN_0169.png
SYN_0170,moderate,68,7,2,0.6,15,10,4.9512,89378.0,HIGH,data\synthetic\images\SYN_0170.png
SYN_0171,moderate,43,11,2,0.6,15,10,4.3617,22997.0,CRITICAL,data\synthetic\images\SYN_0171.png
SYN_0172,mild,93,5,1,0.3,10,6,6.1802,1514255.0,MEDIUM,data\synthetic\images\SYN_0172.png
SYN_0173,mild,63,7,1,0.3,10,6,5.7054,507472.0,MEDIUM,data\synthetic\images\SYN_0173.png
SYN_0174,moderate,36,13,2,0.6,15,10,4.8188,65888.0,HIGH,data\synthetic\images\SYN_0174.png
SYN_0175,moderate,113,4,2,0.6,15,10,4.9551,90181.0,HIGH,data\synthetic\images\SYN_0175.png
SYN_0176,pristine,39,12,0,0.1,5,3,6.6669,4644131.0,LOW,data\synthetic\images\SYN_0176.png
SYN_0177,pristine,39,12,0,0.1,5,3,6.4316,2701734.0,MEDIUM,data\synthetic\images\SYN_0177.png
SYN_0178,pristine,76,6,0,0.1,5,3,6.5417,3480797.0,LOW,data\synthetic\images\SYN_0178.png
SYN_0179,moderate,74,6,2,0.6,15,10,4.5504,35517.0,HIGH,data\synthetic\images\SYN_0179.png
SYN_0180,moderate,44,11,2,0.6,15,10,4.6931,49327.0,HIGH,data\synthetic\images\SYN_0180.png
SYN_0181,severe,43,11,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0181.png
SYN_0182,mild,119,4,1,0.3,10,6,6.1914,1553657.0,MEDIUM,data\synthetic\images\SYN_0182.png
SYN_0183,moderate,114,4,2,0.6,15,10,4.434,27166.0,CRITICAL,data\synthetic\images\SYN_0183.png
SYN_0184,mild,32,15,1,0.3,10,6,5.8889,774337.0,MEDIUM,data\synthetic\images\SYN_0184.png
SYN_0185,moderate,106,4,2,0.6,15,10,4.5786,37898.0,HIGH,data\synthetic\images\SYN_0185.png
SYN_0186,severe,91,5,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0186.png
SYN_0187,moderate,69,7,2,0.6,15,10,4.3946,24807.0,CRITICAL,data\synthetic\images\SYN_0187.png
SYN_0188,pristine,38,13,0,0.1,5,3,6.6408,4373382.0,LOW,data\synthetic\images\SYN_0188.png
SYN_0189,severe,67,7,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0189.png
SYN_0190,severe,78,6,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0190.png
SYN_0191,mild,41,12,1,0.3,10,6,6.0656,1163105.0,MEDIUM,data\synthetic\images\SYN_0191.png
SYN_0192,mild,102,4,1,0.3,10,6,6.1022,1265377.0,MEDIUM,data\synthetic\images\SYN_0192.png
SYN_0193,pristine,96,5,0,0.1,5,3,6.788,6137517.0,LOW,data\synthetic\images\SYN_0193.png
SYN_0194,severe,101,4,4,0.9,25,15,3.5,3162.0,CRITICAL,data\synthetic\images\SYN_0194.png
SYN_0195,mild,109,4,1,0.3,10,6,5.9805,956121.0,MEDIUM,data\synthetic\images\SYN_0195.png
SYN_0196,mild,107,4,1,0.3,10,6,5.9516,894625.0,MEDIUM,data\synthetic\images\SYN_0196.png
SYN_0197,pristine,117,4,0,0.1,5,3,6.6342,4306839.0,LOW,data\synthetic\images\SYN_0197.png
SYN_0198,pristine,93,5,0,0.1,5,3,6.7254,5313532.0,LOW,data\synthetic\images\SYN_0198.png
SYN_0199,mild,71,7,1,0.3,10,6,6.1562,1432947.0,MEDIUM,data\synthetic\images\SYN_0199.png
